DEBUG | 2023-10-21T13:40:55Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.146 seconds
DEBUG | 2023-10-21T13:40:55Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.201 seconds
DEBUG | 2023-10-21T13:40:55Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.09 seconds
DEBUG | 2023-10-21T13:40:55Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.105 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.165 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.221 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.091 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.103 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.157 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.204 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.084 seconds
DEBUG | 2023-10-21T13:41:12Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.096 seconds
DEBUG | 2023-10-21T13:41:24Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.032 seconds
DEBUG | 2023-10-21T13:41:24Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.053 seconds
DEBUG | 2023-10-21T13:41:24Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.054 seconds
DEBUG | 2023-10-21T13:41:26Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.013 seconds
DEBUG | 2023-10-21T13:41:26Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.065 seconds
DEBUG | 2023-10-21T13:41:26Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.065 seconds
DEBUG | 2023-10-21T13:41:26Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.069 seconds
DEBUG | 2023-10-21T13:41:27Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.009 seconds
DEBUG | 2023-10-21T13:41:27Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.065 seconds
DEBUG | 2023-10-21T13:41:27Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.057 seconds
DEBUG | 2023-10-21T13:41:28Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.031 seconds
DEBUG | 2023-10-21T13:41:28Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.069 seconds
DEBUG | 2023-10-21T13:41:29Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.01 seconds
DEBUG | 2023-10-21T13:41:29Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.08 seconds
DEBUG | 2023-10-21T13:41:29Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.069 seconds
DEBUG | 2023-10-21T13:41:30Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.031 seconds
DEBUG | 2023-10-21T13:41:30Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.067 seconds
DEBUG | 2023-10-21T13:41:32Z+0200 | ...al/share/nvim/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.026 seconds
